날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-07-01,2호선,성수,43013,47661,90674,-4648,7,1,금
2022-07-01,2호선,건대입구,39433,44202,83635,-4769,7,1,금
2022-07-01,2호선,구의(광진구청),25932,24750,50682,1182,7,1,금
2022-07-01,2호선,강변(동서울터미널),36241,35859,72100,382,7,1,금
2022-07-01,2호선,잠실나루,16254,15555,31809,699,7,1,금
2022-07-01,2호선,잠실(송파구청),81553,80908,162461,645,7,1,금
2022-07-01,2호선,잠실새내,24833,25305,50138,-472,7,1,금
2022-07-01,2호선,종합운동장,13919,15768,29687,-1849,7,1,금
2022-07-01,2호선,삼성(무역센터),65374,65073,130447,301,7,1,금
2022-07-01,2호선,선릉,62039,54390,116429,7649,7,1,금
2022-07-01,2호선,역삼,55298,62606,117904,-7308,7,1,금
2022-07-01,2호선,강남,93266,92240,185506,1026,7,1,금
2022-07-01,2호선,교대(법원.검찰청),37080,42049,79129,-4969,7,1,금
2022-07-01,2호선,서초,23585,22050,45635,1535,7,1,금
2022-07-01,2호선,방배,17580,18166,35746,-586,7,1,금
2022-07-01,2호선,사당,45262,48844,94106,-3582,7,1,금
2022-07-01,2호선,낙성대(강감찬),30809,28210,59019,2599,7,1,금
2022-07-01,2호선,서울대입구(관악구청),51828,49472,101300,2356,7,1,금
2022-07-01,2호선,봉천,26039,23655,49694,2384,7,1,금
2022-07-01,2호선,신림,63886,61007,124893,2879,7,1,금
2022-07-01,2호선,신대방,27808,26249,54057,1559,7,1,금
2022-07-01,2호선,구로디지털단지,64952,64740,129692,212,7,1,금
2022-07-01,2호선,대림(구로구청),25746,26125,51871,-379,7,1,금
2022-07-01,2호선,신도림,53000,53240,106240,-240,7,1,금
2022-07-01,2호선,문래,24307,25326,49633,-1019,7,1,금
2022-07-01,2호선,영등포구청,23798,24759,48557,-961,7,1,금
2022-07-01,2호선,당산,20125,23593,43718,-3468,7,1,금
2022-07-01,2호선,합정,34991,39362,74353,-4371,7,1,금
2022-07-01,분당선,선릉,14347,22274,36621,-7927,7,1,금
